githubId,githubUsername,commits
130745,kristofferkoch,3
130903,Hoverbear,19
131599,mweinelt,22658
131856,raboof,165
131929,nim65s,245
132113,robx,6
132835,samueldr,256
133602,bjornfor,430
134032,seryl,1
134872,Frostman,41
135230,aycanirican,2
135706,fkautz,11
136485,cjab,12
137337,dinvlad,1
137805,ndl,32
137852,hraban,107
138102,rrix,1
138219,yisraeldov,6
139003,rgrinberg,15
139144,sgillespie,4
139251,teh,1
139659,elcuervo,1
140352,tmiller,1
140370,ornicar,4
140542,wentasah,121
140660,madeddie,3
140937,hzeller,138
140964,pbsds,1746
141248,r-vdp,289
141733,camelpunch,21
141824,vkryachko,4
142098,ean,4
142698,rossabaker,5
143473,dankamongmen,4
144613,jmartindf,1
144952,suvash,4
145816,rawkode,5
146013,ryansch,1
146413,posch,15
147191,cwp,2
147256,mjoerg,165
147284,eraserhd,9
148037,nomeata,121
149323,devwout,1
150545,ajgon,10
150959,doriath,2
151337,nicknovitski,14
151532,kangaroo,1
151924,sontek,3
152342,archevel,1
152398,lopter,6
153175,amarshall,385
153538,avnik,41
154108,scm2342,9
154392,TristanCacqueray,13
154400,aib,1
155603,matko,6
156239,DeeUnderscore,132
156560,williballenthin,2
156964,tboerger,13
157330,bburdette,164
157521,thomie,3
157678,IreneKnapp,9
158211,wanderer,2
158241,kazikcz,1
158568,mcmtroffaes,1
158909,seitz,2
158999,divanorama,28
159099,gurjeet,2
159919,andreaswolf,1
160084,DanielSidhion,69
160298,ghthor,8
160317,kristoff3r,2
160333,Vodurden,2
160447,datakurre,1
160646,arcuru,24
160894,CyberShadow,40
161558,skorpy2009,11
163165,yuanw,1
163706,douglaz,1
163793,lunaris,1
163858,svenssonaxel,1
163899,regadas,6
164148,bcdarwin,481
164197,techknowlogick,463
164962,tams,1
165115,robinkrahl,7
166042,rattboi,2
166108,growler,1
166791,neilmayhew,11
167209,omasanori,5
167740,abl,1
167842,keoko,1
167881,spacefrogg,25
168301,l0b0,155
168610,wizeman,22
169249,alunduil,2
169547,elliottneilclark,2
170649,conradev,1
170943,pkosel,2
170969,ward,1
171007,bheesham,3
